Èas príchodu k rampe; Poèet opráv
9. 1. 2017 7:43:20;3
9. 1. 2017 8:05:56;4
9. 1. 2017 8:45:27;5
9. 1. 2017 9:13:34;3
9. 1. 2017 9:26:18;4
9. 1. 2017 9:40:55;3
9. 1. 2017 9:52:10;1
9. 1. 2017 10:00:14;3
9. 1. 2017 10:23:11;3
9. 1. 2017 10:37:42;3
9. 1. 2017 11:01:25;4
9. 1. 2017 11:53:24;5
9. 1. 2017 12:05:05;2
9. 1. 2017 12:15:59;4
9. 1. 2017 12:27:58;3
9. 1. 2017 12:41:01;2
9. 1. 2017 12:41:18;3
9. 1. 2017 12:41:35;3
9. 1. 2017 13:06:23;2
9. 1. 2017 13:12:26;2
9. 1. 2017 13:28:23;3
9. 1. 2017 14:09:55;2
9. 1. 2017 14:13:58;4
9. 1. 2017 14:39:42;1
9. 1. 2017 14:57:15;3
10. 1. 2017 7:00:26;6
10. 1. 2017 7:25:01;2
10. 1. 2017 7:49:12;4
10. 1. 2017 7:50:20;2
10. 1. 2017 7:51:14;2
10. 1. 2017 8:27:15;3
10. 1. 2017 8:28:37;5
10. 1. 2017 9:44:34;3
10. 1. 2017 9:56:28;3
10. 1. 2017 10:04:24;3
10. 1. 2017 10:13:34;3
10. 1. 2017 10:17:02;3
10. 1. 2017 10:19:13;3
10. 1. 2017 10:24:16;4
10. 1. 2017 10:34:18;1
10. 1. 2017 10:40:32;3
10. 1. 2017 11:06:45;4
10. 1. 2017 11:39:56;3
10. 1. 2017 12:07:05;2
10. 1. 2017 12:44:28;2
10. 1. 2017 13:02:17;4
10. 1. 2017 13:43:56;2
10. 1. 2017 13:58:42;3
10. 1. 2017 13:59:07;4
11. 1. 2017 7:25:38;2
11. 1. 2017 7:50:06;4
11. 1. 2017 7:54:25;4
11. 1. 2017 7:57:12;3
11. 1. 2017 8:03:21;2
11. 1. 2017 8:12:03;4
11. 1. 2017 8:44:38;5
11. 1. 2017 8:46:33;5
11. 1. 2017 9:18:50;4
11. 1. 2017 9:33:46;2
11. 1. 2017 9:44:10;3
11. 1. 2017 9:46:58;4
11. 1. 2017 10:51:22;4
11. 1. 2017 10:55:53;5
11. 1. 2017 11:08:45;2
11. 1. 2017 11:17:51;3
11. 1. 2017 11:49:50;3
11. 1. 2017 12:14:29;3
11. 1. 2017 12:35:17;3
11. 1. 2017 12:58:59;4
11. 1. 2017 13:01:35;5
11. 1. 2017 13:13:25;4
11. 1. 2017 13:27:21;2
11. 1. 2017 13:47:43;3
11. 1. 2017 13:58:35;3
12. 1. 2017 7:21:45;4
12. 1. 2017 7:42:30;2
12. 1. 2017 8:31:16;5
12. 1. 2017 8:33:08;3
12. 1. 2017 8:59:20;2
12. 1. 2017 9:24:43;2
12. 1. 2017 10:01:11;4
12. 1. 2017 10:35:54;2
12. 1. 2017 10:48:27;3
12. 1. 2017 10:59:05;3
12. 1. 2017 11:33:45;4
12. 1. 2017 11:52:01;2
12. 1. 2017 12:37:56;3
12. 1. 2017 13:20:37;3
12. 1. 2017 13:27:15;4
12. 1. 2017 13:38:05;3
12. 1. 2017 13:49:27;3
12. 1. 2017 14:25:21;3
13. 1. 2017 7:40:17;5
13. 1. 2017 7:45:57;2
13. 1. 2017 7:47:41;2
13. 1. 2017 7:56:47;5
13. 1. 2017 9:25:20;4
13. 1. 2017 10:07:11;1
